dt,AverageTemperature
1950-01-01,7.999
1950-02-01,10.128
1950-03-01,12.349
1950-04-01,13.363
1950-05-01,15.774
1950-06-01,19.914
1950-07-01,22.653
1950-08-01,21.452
1950-09-01,19.691
1950-10-01,16.438
1950-11-01,13.367
1950-12-01,7.664999999999999
1951-01-01,8.443000000000001
1951-02-01,8.36
1951-03-01,11.236
1951-04-01,13.265
1951-05-01,13.733999999999998
1951-06-01,19.531
1951-07-01,21.724
1951-08-01,20.778
1951-09-01,20.093
1951-10-01,14.875
1951-11-01,11.633
1951-12-01,9.961
1952-01-01,6.9190000000000005
1952-02-01,9.438
1952-03-01,13.14
1952-04-01,13.197
1952-05-01,16.343
1952-06-01,20.136
1952-07-01,21.898000000000003
1952-08-01,21.082
1952-09-01,17.764
1952-10-01,16.058999999999994
1952-11-01,12.151
1952-12-01,9.137
1953-01-01,7.772
1953-02-01,8.548
1953-03-01,11.69
1953-04-01,13.157
1953-05-01,18.316
1953-06-01,18.492
1953-07-01,21.993
1953-08-01,23.47
1953-09-01,20.402
1953-10-01,15.209
1953-11-01,13.213
1953-12-01,11.033
1954-01-01,6.671
1954-02-01,8.078999999999999
1954-03-01,10.718
1954-04-01,12.671
1954-05-01,16.363
1954-06-01,18.469
1954-07-01,21.803
1954-08-01,20.479
1954-09-01,19.685
1954-10-01,17.698
1954-11-01,13.438
1954-12-01,9.075
1955-01-01,11.042
1955-02-01,9.641
1955-03-01,10.684
1955-04-01,15.36
1955-05-01,17.903
1955-06-01,19.695
1955-07-01,21.753
1955-08-01,22.663
1955-09-01,20.749
1955-10-01,16.24
1955-11-01,12.239
1955-12-01,10.738
1956-01-01,9.067
1956-02-01,5.558
1956-03-01,10.735
1956-04-01,12.493
1956-05-01,16.532999999999998
1956-06-01,19.195
1956-07-01,21.063
1956-08-01,20.356
1956-09-01,18.293
1956-10-01,16.082
1956-11-01,9.664
1956-12-01,7.196000000000001
1957-01-01,6.758000000000001
1957-02-01,10.608
1957-03-01,13.339
1957-04-01,12.686
1957-05-01,15.406
1957-06-01,18.539
1957-07-01,22.542
1957-08-01,22.493
1957-09-01,20.888
1957-10-01,15.375
1957-11-01,11.036
1957-12-01,6.989999999999998
1958-01-01,8.591000000000001
1958-02-01,11.133
1958-03-01,11.076
1958-04-01,12.848
1958-05-01,16.500999999999998
1958-06-01,18.272
1958-07-01,21.211
1958-08-01,21.168000000000003
1958-09-01,20.344
1958-10-01,16.232
1958-11-01,11.651
1958-12-01,9.826
1959-01-01,9.988
1959-02-01,9.178999999999998
1959-03-01,11.524
1959-04-01,13.0
1959-05-01,15.885
1959-06-01,19.711
1959-07-01,22.801
1959-08-01,22.12
1959-09-01,19.712
1959-10-01,15.691
1959-11-01,11.412
1959-12-01,9.507
1960-01-01,8.681000000000001
1960-02-01,10.101
1960-03-01,11.924
1960-04-01,14.140999999999998
1960-05-01,16.835
1960-06-01,20.655
1960-07-01,21.598000000000003
1960-08-01,20.617
1960-09-01,19.387
1960-10-01,14.021
1960-11-01,12.067
1960-12-01,7.837000000000001
1961-01-01,7.725
1961-02-01,11.78
1961-03-01,14.193
1961-04-01,13.762
1961-05-01,18.026
1961-06-01,20.019
1961-07-01,22.253
1961-08-01,23.442
1961-09-01,20.137
1961-10-01,15.189
1961-11-01,11.344
1961-12-01,10.532
1962-01-01,8.975
1962-02-01,9.085
1962-03-01,11.057
1962-04-01,13.528
1962-05-01,16.261
1962-06-01,20.53
1962-07-01,21.256
1962-08-01,22.467
1962-09-01,20.594
1962-10-01,17.622999999999994
1962-11-01,9.864
1962-12-01,7.931999999999999
1963-01-01,8.513
1963-02-01,7.876999999999999
1963-03-01,11.16
1963-04-01,13.062
1963-05-01,16.323999999999998
1963-06-01,18.614
1963-07-01,22.01
1963-08-01,20.674
1963-09-01,18.936
1963-10-01,17.604
1963-11-01,12.449000000000002
1963-12-01,8.272
1964-01-01,8.655000000000001
1964-02-01,10.196
1964-03-01,10.79
1964-04-01,12.757
1964-05-01,18.322
1964-06-01,19.956
1964-07-01,22.065
1964-08-01,22.459
1964-09-01,21.851
1964-10-01,15.462
1964-11-01,11.561
1964-12-01,7.3599999999999985
1965-01-01,7.966
1965-02-01,7.941999999999998
1965-03-01,11.906
1965-04-01,13.69
1965-05-01,18.049
1965-06-01,20.215
1965-07-01,20.119
1965-08-01,22.042
1965-09-01,17.799
1965-10-01,16.271
1965-11-01,11.083
1965-12-01,9.53
1966-01-01,10.909
1966-02-01,10.954999999999998
1966-03-01,11.647
1966-04-01,13.308
1966-05-01,17.246
1966-06-01,19.012
1966-07-01,21.617
1966-08-01,21.45
1966-09-01,21.208
1966-10-01,14.601
1966-11-01,9.438
1966-12-01,8.552
1967-01-01,7.960000000000001
1967-02-01,9.838
1967-03-01,13.075
1967-04-01,13.089
1967-05-01,14.414
1967-06-01,19.605
1967-07-01,21.929
1967-08-01,21.405
1967-09-01,19.201
1967-10-01,16.627
1967-11-01,11.525
1967-12-01,7.728
1968-01-01,8.665000000000001
1968-02-01,9.577
1968-03-01,10.87
1968-04-01,12.261
1968-05-01,15.787999999999998
1968-06-01,19.706
1968-07-01,21.818
1968-08-01,21.628
1968-09-01,18.913
1968-10-01,17.994
1968-11-01,12.774
1968-12-01,9.141
1969-01-01,9.397
1969-02-01,8.206999999999999
1969-03-01,10.941
1969-04-01,12.582
1969-05-01,14.855999999999998
1969-06-01,18.462
1969-07-01,23.485
1969-08-01,22.304
1969-09-01,17.709
1969-10-01,16.718
1969-11-01,10.55
1969-12-01,7.744999999999999
1970-01-01,9.725
1970-02-01,9.183
1970-03-01,9.752
1970-04-01,12.906
1970-05-01,16.579
1970-06-01,18.494
1970-07-01,22.212
1970-08-01,20.889
1970-09-01,21.257
1970-10-01,15.854
1970-11-01,13.914
1970-12-01,6.345999999999999
1971-01-01,8.003
1971-02-01,10.095
1971-03-01,9.458
1971-04-01,12.518
1971-05-01,14.092
1971-06-01,17.445
1971-07-01,21.828000000000003
1971-08-01,20.098
1971-09-01,20.136
1971-10-01,18.179
1971-11-01,10.380999999999998
1971-12-01,9.091
1972-01-01,7.0760000000000005
1972-02-01,8.937000000000001
1972-03-01,10.276
1972-04-01,12.954
1972-05-01,14.416
1972-06-01,16.979
1972-07-01,21.201
1972-08-01,20.877
1972-09-01,18.076
1972-10-01,14.742
1972-11-01,12.19
1972-12-01,8.812000000000001
1973-01-01,7.905
1973-02-01,8.735
1973-03-01,11.011
1973-04-01,13.394
1973-05-01,15.816999999999998
1973-06-01,19.701
1973-07-01,20.945
1973-08-01,22.853
1973-09-01,19.323
1973-10-01,15.552
1973-11-01,12.42
1973-12-01,7.7189999999999985
1974-01-01,9.803
1974-02-01,9.04
1974-03-01,10.532
1974-04-01,11.688
1974-05-01,16.07
1974-06-01,19.107
1974-07-01,22.881
1974-08-01,21.416
1974-09-01,18.059
1974-10-01,13.207
1974-11-01,11.661
1974-12-01,9.135
1975-01-01,9.31
1975-02-01,10.390999999999998
1975-03-01,9.642
1975-04-01,12.686
1975-05-01,14.826999999999998
1975-06-01,18.877
1975-07-01,21.906
1975-08-01,22.384
1975-09-01,18.394
1975-10-01,16.442
1975-11-01,11.717
1975-12-01,7.153
1976-01-01,7.5950000000000015
1976-02-01,10.068
1976-03-01,11.351
1976-04-01,11.8
1976-05-01,16.239
1976-06-01,21.589
1976-07-01,22.464
1976-08-01,21.904
1976-09-01,18.266
1976-10-01,13.943
1976-11-01,10.092
1976-12-01,9.779
1977-01-01,8.421000000000001
1977-02-01,10.353
1977-03-01,11.986
1977-04-01,13.625
1977-05-01,14.682
1977-06-01,16.904
1977-07-01,19.651
1977-08-01,19.701
1977-09-01,21.199
1977-10-01,15.848999999999998
1977-11-01,11.387
1977-12-01,11.294
1978-01-01,8.276
1978-02-01,10.295
1978-03-01,11.321
1978-04-01,11.59
1978-05-01,14.634
1978-06-01,17.157
1978-07-01,21.512
1978-08-01,21.716
1978-09-01,22.188
1978-10-01,16.239
1978-11-01,12.201
1978-12-01,10.791
1979-01-01,9.219
1979-02-01,10.065
1979-03-01,9.874
1979-04-01,12.123
1979-05-01,15.568
1979-06-01,19.977
1979-07-01,22.566
1979-08-01,21.908
1979-09-01,19.838
1979-10-01,14.489
1979-11-01,11.656
1979-12-01,9.742
1980-01-01,8.769
1980-02-01,10.235
1980-03-01,11.191
1980-04-01,13.86
1980-05-01,15.171
1980-06-01,18.856
1980-07-01,20.996
1980-08-01,22.658
1980-09-01,21.199
1980-10-01,16.029
1980-11-01,11.288
1980-12-01,7.845
1981-01-01,8.49
1981-02-01,9.065
1981-03-01,12.76
